Assessment,Questionnaire,Control Identifier,Control Question,Response,Comment,Evidence
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-6.1","Have all the configuration settings been documented that reflect the most restrictive mode consistent with operational requirements? ","No","Typically part of customer provided server infrastructure",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-6.2","Is there any automated or manual monitoring of configuration changes? (e.g., Tripwire, manual checklists)","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-6.3","Do you document and approve deviations from the established configuration settings?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-7.1","Do you restrict or prohibit the use of any functions, ports, protocols and/or services that are not essential to the function of the information system? ","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-8.1","Do you have an accurate and current documented inventory of the components within the information system?","Yes","Part of internal SDLC documentation","LAB01124_r12 PeriWatch Surveillance - System Requirements.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-8.2","If yes, do you review and update the information system component inventory regularly?","Yes","With every release. see the comparison between the previous System Requirement document compared to the one attached to the previous question (2 different versions to show different OS requirement for example)","LAB01124_r9 PeriWatch Surveillance - System Requirements.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-9.1","Does the organization develop, document, and implement a configuration management plan for the information system that addresses roles, responsibilities and configuration management processes and procedures?","Yes","See the attached system admin user guide, chapter 2","LAB00196_PeriWatch_Surveillance_SysAdmin_Manual_rev17.pdf"
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-9.2","Does the organization establish a process for identifying configuration items throughout the system development life cycle?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-9.3","Does the organization define configuration items for the information system?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch Surveillance - Unknown) 20221027","VSQ on prem for St. Luke's (SLUHN)-RA0001783-PeriGen -PeriWatch Surveillance","CM-9.4","Does the organization protect the configuration management plan for unauthorized disclosures and modifications?","Yes","",""
